Alder;3801 Horten;3802 Holmestrand;3803 Tønsberg;3804 Sandefjord;3805 Larvik;3806 Porsgrunn;3807 Skien;3808 Notodden;3811 Færder;3812 Siljan;3813 Bamble;3814 Kragerø;3815 Drangedal;3816 Nome;3817 Midt-Telemark;3818 Tinn;3819 Hjartdal;3820 Seljord;3821 Kviteseid;3822 Nissedal;3823 Fyresdal;3824 Tokke;3825 Vinje
Utflytting;;;;;;;;;;;;;;;;;;;;;;;
45 år;54;70;142;125;63;86;124;23;67;4;34;25;7;17;17;11;3;6;9;3;2;5;6
46 år;64;53;131;131;114;87;95;26;66;7;32;20;7;18;16;16;1;8;6;3;6;6;10
47 år;78;64;144;144;75;99;99;18;84;6;27;25;6;10;19;17;4;3;3;4;3;2;10
48 år;57;64;149;128;81;100;100;22;52;10;41;21;7;16;17;9;2;3;6;4;8;3;4
49 år;59;51;147;147;65;63;100;23;80;8;23;18;13;16;25;14;4;5;5;4;3;6;6
50 år;52;57;148;126;72;90;97;29;84;6;27;20;8;22;16;15;3;4;3;5;6;7;7
51 år;49;75;130;122;65;97;95;21;77;5;35;26;7;14;29;19;2;9;5;5;3;5;7
52 år;74;61;157;132;71;92;106;19;88;4;28;22;7;15;15;13;4;7;3;6;3;8;5
53 år;62;65;128;117;56;80;103;23;86;10;29;17;6;11;11;12;1;5;5;6;1;6;3
54 år;48;60;133;112;73;52;91;18;74;6;27;17;6;10;8;15;2;7;6;3;5;3;8
55 år;44;39;111;111;68;61;82;14;77;10;30;16;8;9;15;10;1;6;;5;2;4;9
56 år;53;43;112;103;61;55;56;15;64;5;29;11;6;15;17;5;3;8;3;6;2;8;9
57 år;51;40;111;71;55;64;95;21;83;8;26;9;6;17;17;6;1;6;2;5;2;2;9
58 år;37;37;89;79;39;51;77;27;56;6;30;22;5;9;9;7;2;6;2;2;1;5;2
59 år;39;41;94;71;45;41;59;17;61;4;20;15;5;8;15;6;4;5;3;1;3;2;4
60 år;37;33;96;76;42;48;60;12;60;2;25;14;2;10;6;11;2;3;5;2;2;6;1
61 år;46;34;85;70;46;48;48;13;35;4;15;11;3;6;17;7;4;5;3;3;;3;3
62 år;33;37;86;67;45;53;61;11;51;2;14;18;2;11;9;6;3;7;1;;;2;3
63 år;31;34;73;52;40;36;47;14;49;2;18;13;3;8;10;7;2;3;7;1;2;1;2
64 år;19;31;61;50;35;37;55;17;48;2;15;14;5;6;7;8;1;6;3;2;;5;5
65 år;29;34;63;54;39;35;45;8;44;1;14;9;3;8;7;1;4;4;4;5;1;3;6
66 år;28;17;48;50;44;26;37;13;44;6;17;9;4;7;9;5;2;2;2;1;1;1;4
67 år;22;32;63;56;36;36;36;4;44;;12;15;5;7;8;8;4;7;3;1;3;5;4
68 år;36;28;51;39;36;32;40;7;39;4;15;13;1;12;6;4;;4;8;1;2;1;3
69 år;17;24;51;37;26;29;35;6;33;1;10;12;3;9;9;7;5;2;3;1;1;6;4
70 år;25;27;55;40;28;29;44;5;23;2;11;12;4;6;6;1;;1;2;1;;4;3
Innflytting;;;;;;;;;;;;;;;;;;;;;;;
0 år;89;79;180;184;130;98;138;26;99;5;41;27;5;18;44;6;8;2;2;4;4;4;8
