Gruppe / kommune,Kommune-nummer,Innb. totalt pr. 1. januar,Arrangement for skoler og barnehager,Arrangement for skoler og barnehager frammøtte,Samtale og debatt-arrangement,Samtale og debatt-arrangement frammøtte,Kultur-arrangement,Kultur-arrangement frammøtte,Opplæring/ kurs/ verksted,Opplæring/ kurs/ verksted frammøtte,Bibliotekinformasjon/ omvisning,Bibliotekinformasjon/ omvisning frammøtte
Verdal,5038,14948,101,371,5,277,211,6015,25,1338,14,1161
Snåase - Snåsa,5041,2063,51,1191,39,986,25,372,20,321,8,115
Lierne,5042,1355,24,368,0,0,4,115,0,0,0,
Raarvihke - Røyrvik,5043,461,10,80,2,26,4,103,1,12,,
Namsskogan,5044,843,3,75,0,0,1,35,2,12,0,
Grong,5045,2359,6,160,4,50,0,0,0,0,0,
Høylandet,5046,1231,308,5164,0,0,11,314,0,0,10,173
Overhalla,5047,3884,40,1051,0,0,6,390,4,14,0,0
Flatanger,5049,1103,4,145,8,70,1,25,0,0,5,30
Leka,5052,557,19,482,3,56,14,385,11,150,2,15
Inderøy,5053,6816,11,535,0,0,23,235,0,0,1,30
Indre Fosen,5054,10084,0,0,9,180,2,20,1,60,,
Heim,5055,5963,2,35,0,0,6,160,0,0,0,0
Hitra,5056,5050,68,1150,11,0,30,400,40,90,5,200
Ørland,5057,10323,36,2306,0,0,34,509,18,295,2,60
Åfjord,5058,4288,8,290,0,0,2,28,6,22,0,0
Orkland,5059,18217,104,1161,23,180,10,369,28,409,0,0
Nærøysund,5060,9623,105,1635,0,0,11,85,9,71,53,485
Rindal,5061,2003,9,90,0,0,1,90,0,0,2,25
Bodø,1804,52357,103,2798,25,1483,254,6043,204,2897,1,8
Narvik,1806,21845,23,1546,31,170,25,1111,17,232,0,0
Bindal,1811,1426,0,0,6,88,0,0,0,0,4,70
Sømna,1812,1975,9,307,0,0,1,25,0,0,0,0
Brønnøy,1813,7917,3,156,0,0,8,370,0,0,10,102
Vega,1815,1200,265,4067,1,54,7,75,4,59,6,74
Vevelstad,1816,462,12,62,0,0,0,0,0,0,0,0
Herøy (Nordland),1818,1777,39,500,0,0,40,850,3,15,4,60
Alstahaug,1820,7447,9,104,0,0,16,550,0,0,0,0
Leirfjord,1822,2294,0,0,0,0,0,0,0,0,,
Vefsn,1824,13278,2,20,0,0,4,68,3,20,3,71
Grane,1825,1482,3,33,0,0,2,0,1,19,1,17
Hattfjelldal,1826,1297,1,124,16,101,5,189,6,54,5,56
Dønna,1827,1371,5,95,2,50,1,30,0,0,1,30
Nesna,1828,1761,4,230,0,0,14,180,7,70,2,20
Hemnes,1832,4454,10,75,1,17,0,0,0,0,3,42
Rana,1833,26184,29,1224,28,1226,13,1537,12,244,37,740
Lurøy,1834,1890,0,0,0,0,0,0,0,0,0,
Træna,1835,435,0,0,0,0,0,0,0,0,0,
Rødøy,1836,1213,0,0,0,0,0,0,0,0,0,0
Meløy,1837,6288,10,0,1,10,29,327,4,76,,
Gildeskål,1838,1950,3,38,0,0,3,125,2,12,,
Beiarn,1839,1017,0,0,2,25,0,0,0,0,0,
Saltdal,1840,4671,0,0,1,20,3,82,7,86,1,30
Fauske - Fuosko,1841,9739,3,64,0,0,24,204,14,202,0,0
Sørfold,1845,1926,0,0,0,0,0,0,0,0,,
Steigen,1848,2608,0,0,9,238,2,23,14,78,1,24
Lødingen,1851,2034,0,0,0,0,0,0,0,0,10,50
Evenes,1853,1348,0,0,0,0,20,100,0,0,0,0
Røst,1856,498,0,0,0,0,0,0,0,0,1,3
Værøy,1857,728,0,0,0,0,0,0,0,0,,
Flakstad,1859,1272,0,0,0,0,0,0,0,0,0,0
Vestvågøy,1860,11433,23,519,5,224,7,208,2,25,0,0
Vågan,1865,9608,44,636,0,0,5,42,5,54,2,54
Hadsel,1866,8061,0,0,0,0,10,46,25,100,,
Bø,1867,2569,0,0,3,122,8,302,1,8,0,
Øksnes,1868,4410,8,128,0,0,2,97,2,58,1,21
Sortland - Suortá,1870,10566,99,1457,7,96,180,2750,2,35,5,27
Andøy,1871,4663,80,1185,0,0,1,10,0,0,,
Moskenes,1874,1015,0,0,0,0,0,0,0,0,,
Hamarøy,1875,2766,91,907,7,221,6,95,16,136,2,5
Tromsø,5401,76974,210,4251,15,579,82,1753,138,1096,5,34
Harstad,5402,24703,125,2067,94,779,69,4821,14,301,59,1078
Alta,5403,20789,133,3345,3,80,62,1825,83,668,24,423
Vardø,5404,2029,0,0,0,0,0,0,0,0,0,0
Vadsø,5405,5788,3,40,1,30,15,438,4,95,2,19
Hammerfest,5406,11448,2,40,1,30,9,169,17,150,0,
Kvæfjord,5411,2839,21,441,0,0,67,471,0,0,,
Tjeldsund,5412,4216,4,44,0,0,0,0,0,0,0,
Ibestad,5413,1361,7,233,0,0,1,4,0,0,,
Gratangen,5414,1091,5,84,0,0,2,30,0,0,,
Loabák - Lavangen,5415,1034,1,36,0,0,0,0,0,0,0,
Bardu,5416,4005,0,0,0,0,0,0,4,89,4,54
Salangen,5417,2146,0,0,0,0,0,0,16,88,1,16
Målselv,5418,6640,8,70,1,60,0,0,0,0,4,60
Sørreisa,5419,3464,0,0,0,0,0,0,0,0,1,6
Dyrøy,5420,1083,3,97,0,0,3,30,0,0,,
Senja,5421,14851,33,346,1,5,22,899,79,682,31,328
Balsfjord,5422,5559,20,365,0,0,5,247,8,145,0,
Karlsøy,5423,2200,3,15,0,0,0,0,3,44,,
Lyngen,5424,2794,6,153,1,10,16,160,2,23,0,0
Storfjord - Omasvuotna - Omasvuono,5425,1829,1,40,0,0,0,0,0,0,0,
Gáivuotna - Kåfjord - Kaivuono,5426,2071,6,108,0,0,1,18,0,0,0,
Skjervøy,5427,2927,54,972,0,0,10,219,61,404,,
Nordreisa,5428,4861,45,993,1,5,10,263,8,96,,
Kvænangen,5429,1191,15,385,0,0,7,249,1,4,4,55
Guovdageaidnu - Kautokeino,5430,2910,41,576,0,0,2,38,0,0,0,
Loppa,5432,888,0,0,0,0,0,0,0,0,,
Hasvik,5433,1005,0,0,0,0,1,13,0,0,0,0
Måsøy,5434,1225,9,100,0,0,11,155,2,18,4,36
Nordkapp,5435,3162,0,0,0,0,2,24,0,0,,
Porsanger - Porsángu - Porsanki,5436,3998,18,494,0,0,16,216,23,246,2,34
Kárásjohka - Karasjok,5437,2628,0,0,0,0,0,0,0,0,0,0
Lebesby,5438,1290,40,472,4,69,37,802,6,36,2,13
Gamvik,5439,1132,10,145,0,0,2,45,6,67,2,17
Berlevåg,5440,957,0,0,0,0,1,1,0,0,0,0
Deatnu - Tana,5441,2918,3,69,0,0,2,30,1,20,3,30
Unjárga - Nesseby,5442,926,2,19,0,0,11,171,2,10,,
Båtsfjord,5443,2221,0,0,0,0,2,46,0,0,0,
Sør-Varanger,5444,10158,13,297,0,0,62,1051,0,0,0,0
Longyearbyen,2111,2428,20,723,12,340,30,707,18,128,0,0
